provider_id,name,owner,categories,geographic_scope,docs_url,api_base_url,signup_url,auth_type,key_env_var,license_url,terms_url,notes
noaa_coastwatch_erddap,NOAA CoastWatch ERDDAP,NOAA CoastWatch / NOAA NMFS SWFSC Environmental Research Division,"ocean, satellite, erddap, environment",global/us,https://coastwatch.pfeg.noaa.gov/erddap/rest.html,https://coastwatch.pfeg.noaa.gov/erddap/,,no_key_for_public_data,,,,Official ERDDAP endpoint; adapter should generate bounded griddap/tabledap requests instead of bulk satellite-grid downloads.
noaa_coops,NOAA CO-OPS Tides and Currents,NOAA / Center for Operational Oceanographic Products and Services,"ocean, tides, water_level, currents",us/coastal,https://api.tidesandcurrents.noaa.gov/api/prod/,https://api.tidesandcurrents.noaa.gov/api/prod/datagetter,,no_key,,,,
noaa_marinecadastre_ais,NOAA MarineCadastre AIS Vessel Traffic,BOEM / NOAA Office for Coastal Management / U.S. Coast Guard,"ais, maritime, vessel_traffic, gis, timeseries",us/offshore,https://www.coast.noaa.gov/digitalcoast/data/vesseltraffic.html,https://noaaocm.blob.core.windows.net/ais/csv2/,,no_key_for_public_data,,,,"Representative group dataset for AIS vessel movement. Raw daily CSV.ZST shards are large and should be treated as spatiotemporal trajectory data, not ordinary small SQLite tables."
noaa_ncei_access_data,NOAA NCEI Access Data Service,NOAA / National Centers for Environmental Information,"weather, climate, ocean, archive",global/us,https://www.ncei.noaa.gov/support/access-data-service-api-user-documentation,https://www.ncei.noaa.gov/access/services/data/v1,,no_key,,,,REST metadata/subset access. Use cautiously; this script only catalogs endpoints.
noaa_ncei_cdo,NOAA NCEI Climate Data Online,NOAA / National Centers for Environmental Information,"weather, climate, stations",global/us,https://www.ncei.noaa.gov/cdo-web/webservices/v2,https://www.ncei.noaa.gov/cdo-web/api/v2,https://www.ncei.noaa.gov/cdo-web/token,api_token_required,NOAA_NCEI_CDO_TOKEN,,https://www.ncei.noaa.gov/cdo-web/webservices/v2,NOAA was written as NAOO in the request; this entry targets NOAA/NCEI CDO.
oecd_sdmx,OECD Data API,OECD,"economics, statistics, development",global/oecd,https://data-explorer.oecd.org/,https://sdmx.oecd.org/public/rest/v1,,no_key,,,,
open_meteo,Open-Meteo,Open-Meteo,"weather, climate, air_quality, marine",global,https://open-meteo.com/en/docs,https://api.open-meteo.com/v1/forecast,,no_key_for_public_tier,,,,
openaq,OpenAQ API,OpenAQ,"air_quality, environment",global,https://docs.openaq.org/,https://api.openaq.org/v3,https://explore.openaq.org/,api_key_may_be_required,OPENAQ_API_KEY,,,
opensky_network,OpenSky Network API,OpenSky Network,"aviation, ads-b, traffic",global,https://openskynetwork.github.io/opensky-api/rest.html,https://opensky-network.org/api,https://opensky-network.org/index.php?option=com_users&view=registration,account_optional_or_required_for_limits,OPENSKY_USERNAME,,,
openweathermap,OpenWeather,OpenWeather Ltd.,"weather, forecast, air_pollution",global,https://openweathermap.org/api,https://api.openweathermap.org/,https://home.openweathermap.org/users/sign_up,api_key_required,OPENWEATHER_API_KEY,,,
usgs_earthquake,USGS Earthquake Hazards Program API,U.S. Geological Survey,"earthquake, hazards, geophysics",global,https://earthquake.usgs.gov/fdsnws/event/1/,https://earthquake.usgs.gov/fdsnws/event/1/query,,no_key,,,,
usgs_m2m,USGS EROS Machine-to-Machine API,U.S. Geological Survey,"satellite, landsat, remote_sensing",global/us,https://m2m.cr.usgs.gov/,https://m2m.cr.usgs.gov/api/api/json/stable/,https://ers.cr.usgs.gov/register/,account_token_required,USGS_M2M_API_KEY,,,
world_bank_indicators,World Bank Indicators API,World Bank,"economics, development, population",global,https://datahelpdesk.worldbank.org/knowledgebase/articles/889392-about-the-indicators-api-documentation,https://api.worldbank.org/v2,,no_key,,,,
